city_name,mobility_type,region,patients_before_mobility,patients_after_mobility,net_patient_change,change_share_of_demand_pct
Zhuhai,Top 30 Inflow,East,677.4783728,2192.984632,1515.506259,69.10701685
Guangzhou,Top 30 Inflow,East,10738.23336,18304.06325,7565.829892,41.33415509
Nanjing,Top 30 Inflow,East,13579.58456,20425.84868,6846.264119,33.51764828
Wuhan,Top 30 Inflow,East,12965.12043,19031.0799,6065.959478,31.87396359
Hangzhou,Top 30 Inflow,East,14637.21667,21257.28185,6620.065181,31.14257612
Kunming,Top 30 Inflow,East,5189.15465,7381.834418,2192.679768,29.70372463
Jinan,Top 30 Inflow,East,13066.07095,18415.73388,5349.662924,29.04941481
Shenyang,Top 30 Inflow,East,13892.4708,19360.49866,5468.027868,28.24321813
Beijing,Top 30 Inflow,East,33186.86951,45268.2521,12081.38258,26.68842295
Fuzhou,Top 30 Inflow,East,5847.739848,7749.417879,1901.678031,24.53962427
Zhengzhou,Top 30 Inflow,East,18749.4437,23782.79943,5033.355737,21.1638489
Shanghai,Top 30 Inflow,East,35122.92299,44481.64702,9358.724028,21.03951777
Changsha,Top 30 Inflow,East,9611.312115,11949.47814,2338.166022,19.56709737
Chongqing,Top 30 Inflow,East,17825.00336,22114.83498,4289.831619,19.3979816
Taiyuan,Top 30 Inflow,East,9292.11859,11294.88491,2002.766319,17.73162219
Harbin,Top 30 Inflow,East,13269.62247,15830.1731,2560.55063,16.17512717
Xi'an,Top 30 Inflow,East,16038.43919,18959.32885,2920.889655,15.4060815
Urumqi,Top 30 Inflow,West,10299.48294,12097.76438,1798.281443,14.86457651
Zhongshan,Top 30 Inflow,East,2410.554835,2768.723922,358.1690866,12.93625138
Nanning,Top 30 Inflow,East,6564.635339,7433.927578,869.2922382,11.69357959
Changchun,Top 30 Inflow,East,9894.08998,11140.46734,1246.377362,11.18783731
Nanchang,Top 30 Inflow,East,4983.816521,5557.685965,573.8694439,10.32569036
Chengdu,Top 30 Inflow,East,25670.5444,28624.24615,2953.701756,10.3188805
Qingdao,Top 30 Inflow,East,14914.70029,16486.70904,1572.008752,9.535006335
Shiyan,Top 30 Inflow,East,3844.489658,4234.36629,389.8766322,9.207437559
Lanzhou,Top 30 Inflow,West,5999.359547,6436.699432,437.3398847,6.794474238
Foshan,Top 30 Inflow,East,6283.165611,6709.193055,426.027444,6.349905876
Shijiazhuang,Top 30 Inflow,East,18878.66098,19898.93883,1020.277844,5.127297756
Anyang,Top 30 Inflow,East,8010.670547,8437.510459,426.8399116,5.058837126
Hefei,Top 30 Inflow,East,9571.196349,9973.437226,402.2408763,4.033121854
Suuzhou,Top 30 Outflow,East,21352.44392,19479.82166,-1872.622255,-9.613138595
Jining,Top 30 Outflow,East,13813.827,12009.01775,-1804.809254,-15.02878331
Linyi,Top 30 Outflow,East,14868.45924,12706.66323,-2161.796009,-17.01308966
Wuxi,Top 30 Outflow,East,11420.33368,9664.078977,-1756.254703,-18.17301687
Handan,Top 30 Outflow,East,13460.86585,11373.57295,-2087.292902,-18.35213008
Nanyang,Top 30 Outflow,East,13300.10692,11228.83017,-2071.276749,-18.44605999
Baoding,Top 30 Outflow,East,17206.52252,13959.96699,-3246.555531,-23.25618344
Dalian,Top 30 Outflow,East,9949.851096,7978.432519,-1971.418577,-24.70934701
Zhumadian,Top 30 Outflow,East,8579.19383,6819.777966,-1759.415864,-25.79872648
Weifang,Top 30 Outflow,East,15466.43773,11960.17587,-3506.261853,-29.31613959
Shangqiu,Top 30 Outflow,East,9486.685643,7253.633853,-2233.051789,-30.7852841
Wenzhou,Top 30 Outflow,East,8439.213384,6408.347865,-2030.865519,-31.69093754
Pingdingshan,Top 30 Outflow,East,7286.507945,5408.651418,-1877.856526,-34.71949625
Xingtai,Top 30 Outflow,East,10360.33698,7627.945112,-2732.391869,-35.82081188
Xuchang,Top 30 Outflow,East,7222.74858,5238.791066,-1983.957514,-37.87052182
Yulin,Top 30 Outflow,East,7607.357551,5414.444381,-2192.91317,-40.50116717
Langfang,Top 30 Outflow,East,6844.346363,4570.70058,-2273.645783,-49.74392314
Weinan,Top 30 Outflow,East,6958.587626,4583.925569,-2374.662057,-51.80411463
Puyang,Top 30 Outflow,East,5448.894786,3577.039664,-1871.855122,-52.32972786
Suqian,Top 30 Outflow,East,5058.69282,3207.465858,-1851.226962,-57.71618606
Heze,Top 30 Outflow,East,13078.68625,8262.527208,-4816.159045,-58.28917622
Shenzhen,Top 30 Outflow,East,12113.96725,7607.353319,-4506.613935,-59.24023436
Shaoyang,Top 30 Outflow,East,5353.956235,3314.628368,-2039.327867,-61.52508338
Huanggang,Top 30 Outflow,East,5757.097692,3417.577808,-2339.519884,-68.4554973
Hengshui,Top 30 Outflow,East,6988.132214,4045.288842,-2942.843372,-72.74742265
Anqing,Top 30 Outflow,East,5682.019116,3276.900029,-2405.119087,-73.3961691
Zhoukou,Top 30 Outflow,East,10153.59832,5807.816462,-4345.781863,-74.82643248
Suihua,Top 30 Outflow,East,4767.89397,2579.933997,-2187.959973,-84.80681966
Qiqihar,Top 30 Outflow,East,5035.54487,2476.955424,-2558.589446,-103.2957405
Shangrao,Top 30 Outflow,East,3886.149989,1600.844544,-2285.305445,-142.7562379